ensemble_cluster_id,cluster_size,missing_sm,match_letter,picked_idx,confidence,reason,n_candidates
5,2,Sains,NONE,,0.95,"Candidate A is whole beans, not ground coffee. Cluster is ground coffee. Different product form means different core product.",1
13,3,Morrisons,NONE,,0.95,"Cluster is Lavazza Qualità Oro (branded, specific variety). Candidates A-C are all Morrisons own-brand with different varieties/names (Anytime, Molten Magma, It",3
2,3,Morrisons,NONE,,0.95,"Cluster is Tassimo Cadbury Orange Hot Chocolate Pods x8 240g. Candidate A is Tassimo Costa Cappuccino (different flavour, different weight 210g). No candidate m",5
23,3,Morrisons,NONE,,0.95,"Candidate A is Morrisons own-brand Italian Coffee Beans (220g), while cluster contains Illy branded Espresso coffee (250g). Different brand, different weight, a",1
33,3,Tesco,NONE,,0.95,"Cluster is Nescafe Gold Blend Alta Rica (branded, specific variety). Candidate A is Tesco Classic (different brand, different variety). Candidate B is Mellow Bi",2
14,3,Morrisons,NONE,,0.95,"Cluster is Illy brand (Italian premium coffee), all candidates are Morrisons own-brand. Brand mismatch is disqualifying. Additionally, cluster weight is 250g wh",3
28,2,Tesco,NONE,,0.95,"Cluster requires Nescafe Gold Decaf Instant Coffee 200g. Candidates A and B are wrong brand/variety (Tesco Classic, Mellow Birds). Candidates C, D, E are wrong ",5
4,3,Sains,NONE,,0.95,"Cluster contains Kenyan coffee varieties (ASDA Kenyan, Tesco Kenyan Fair Trade) with one generic organic option (Morrisons). All candidates differ: A is Colombi",5
17,3,Morrisons,NONE,,0.95,"Cluster contains premium/specialty single-origin ground coffees (Nicaraguan, Peruvian Machu Picchu) from upmarket own-brand ranges (Extra Special, Taste the Dif",5
15,3,Tesco,NONE,,0.95,"Cluster is Mellow Bird's instant coffee (regular/mild). A is Nescafe Decaf (different brand, different variety - decaffeinated). B is Nescafe Cappuccino (differ",3
38,3,Sains,NONE,,0.95,"Cluster is Nescafe Gold Blend Intense (branded, 200g). Candidates A and D are Sainsbury's own-brand (different brand), B is Mellow Roast (different variety), C ",5
45,3,Sains,NONE,,0.95,"Candidate A has different variety (includes Ginger and Galangal), Candidate B is different flavour (Night Time Berry), Candidate C is own-brand (Sainsbury's) no",3
34,3,Tesco,NONE,,0.95,"Cluster is Nescafe Gold Blend (branded product). All Tesco candidates are either different brands (Mellow Birds, Tesco own-brand) or different formats (beans, g",5
46,3,Tesco,NONE,,0.95,"All candidates differ from cluster: A and C are Tesco Finest (different brand), D is different origin (Sumatra vs Colombia), B is different format (pods vs grou",4
54,2,Sains,NONE,,0.95,Different brand (Red Label vs Taylors of Harrogate Yorkshire Tea) and different variety/flavour (unspecified Red Label vs Yorkshire Tea Black),1
50,3,Tesco,NONE,,0.95,Cluster is decaffeinated instant coffee (all 200g). Candidate A is regular instant coffee. Candidate B is regular instant coffee. Candidate C is decaf but diffe,5
