ensemble_cluster_id,cluster_size,missing_sm,match_letter,picked_idx,confidence,reason,n_candidates
2,3,Morrisons,NONE,,0.95,Cluster is Tassimo Cadbury Orange Hot Chocolate Pods x8 240g. Candidate A is Tassimo Costa Cappuccino (different brand/flavour). No candidate matches the Cadbur,8
18,3,Morrisons,NONE,,0.95,"Cluster contains L'OR Instant Coffee (150g) in three varieties. Candidates B, C, E are Caffe Nero Ground Coffee (200g) - different brand, different format (grou",8
28,2,Tesco,NONE,,0.95,"Cluster is Nescafe Gold Blend Decaff (branded, specific variety). No Tesco candidate matches: B is Mellow Birds (different brand), G is Tesco own-brand decaf (d",8
28,2,Sains,NONE,,0.95,"Cluster is Nescafe Gold Blend Decaff Instant Coffee 200g. No candidate matches: A is ground/Fairtrade blend (227g), B is different brand/variety, C is own-brand",8
14,3,Morrisons,NONE,,0.95,"Cluster is Illy brand coffee 250g. No Morrisons candidate matches: A & G are Caffe Nero (different brand, 200g), B & C & E are Morrisons own-brand (different br",8
46,3,Tesco,NONE,,0.95,No Tesco candidate matches the cluster. The cluster is Starbucks Colombia Single-Origin Medium Roast Ground Coffee 200g. Candidate B and D are Starbucks but dif,8
55,3,Morrisons,A,22614.0,0.85,Yorkshire Leaf Tea 250g matches the core product across the cluster. Brand presentation varies (Taylors/Yorkshire Tea) but core product is identical - same tea ,8
70,3,Tesco,NONE,,0.95,"Cluster is Taylors of Harrogate Rich Italian Coffee Bags (branded, specific variety). Candidates C, D, H are Tesco Finest coffee but different brand and varieti",8
71,3,Morrisons,B,22737.0,0.95,"Clipper brand, organic tea, 80 tea bags, 280g weight matches ASDA listing exactly. 'Fairtrade' is a certification attribute of the same core product variant.",8
68,3,Morrisons,NONE,,0.95,"None of the Morrisons candidates match the cluster. The cluster is Clipper Fairtrade Organic Green Tea 80 bags 160g. Candidates A-E are different brands (Terea,",8
38,3,Sains,NONE,,0.95,"Cluster is Nescafe Gold Blend Intense (branded, 200g). No candidate matches: A/D/H are Sainsbury's own-brand different varieties; B is Sainsbury's Mellow (diffe",8
72,3,Morrisons,NONE,,0.95,"Cluster is Jimmy's Iced Coffee Original (275ml in Sainsbury's and Tesco, 250ml in ASDA). All Morrison's candidates are either Costa Coffee (different brand) or ",8
76,3,Tesco,A,49270.0,0.85,"Melitta Coffee Filter Papers 1X4 40 Pack matches the core product: coffee filter papers, 40 pack count, 4 cups capacity. Different brand (Melitta vs Rombouts) b",8
82,3,Morrisons,NONE,,0.95,"Cluster is Lavazza Qualità Oro (branded, specific variety) 250g. No candidate matches: A/B/F/G are Morrisons own-brand (different brand), C/E are Ueshima (diffe",8
77,3,Sains,NONE,,0.95,"Cluster is Tetley Green Tea Matcha (50 bags, 105g). Candidates include different brands (Green & Black's, Off the Eaten Path), different varieties (Camomile, Re",8
83,3,Sains,NONE,,0.95,"Cluster contains own-brand roasts (ASDA Mexican, Morrisons Italian, Tesco House) with consistent 220-227g weights. Sainsbury's candidates are either different b",8
102,2,Tesco,NONE,,0.95,"Cluster is Taylors of Harrogate brand, all Tesco candidates are either different brands (Tesco own-brand, Tchibo) or different varieties. No match on brand AND ",8
95,3,Sains,NONE,,0.95,"Cluster is peppermint TEA in bags (40 bags, 60-80g). All candidates are either chewing gum (A, B, D), condiments (E), nuts (F), or other products (C, G, H). No ",8
114,2,Sains,NONE,,0.95,"Cluster is Nescafe Dolce Gusto Cafe au Lait Decaff pods. Candidate A is Sainsbury's Espresso Decaff (different brand, different variety). No candidate matches t",7
110,3,Morrisons,NONE,,0.95,"Cluster is Lavazza Caffe Espresso 250g. No Morrisons candidate matches: A/D are Caffe Nero (wrong brand), B/C/E are Morrisons own-brand (wrong brand), F is wron",8
114,2,Morrisons,NONE,,0.95,"Cluster is Nescafe Dolce Gusto Cafe au Lait Decaffeinated Coffee Pods. All candidates (A-H) are vaping/nicotine pods (SKE Crystal Plus, Vuse Epod, Lost Mary) - ",8
87,3,Tesco,NONE,,0.95,"Cluster contains Tassimo pods (specific brewing system) while all Tesco candidates are either ground coffee (A, C, G), coffee bags (B), or unrelated products (D",8
125,2,Morrisons,NONE,,0.95,"Cluster is PG Tips tea bags (116g, 40 count). All candidates are tobacco/smoking products (cigarettes, cigars, vapes). No tea products in candidates.",8
121,2,Morrisons,NONE,,0.99,"Cluster is Tetley Green Tea (beverage, 50 bags, 100g). Candidates A-B are Terea Green (different brand, no pack/weight details match). Candidates C-H are all ni",8
