ensemble_cluster_id,product_idx,supermarket,source,confidence,reason
3107,45670,Sains,llm_completion,0.95,"Salted Caramel ice cream/dessert, 900ml volume. Core flavor and format match cluster. Brand difference (Carte D'or vs own-brands) is acceptable as per rules for"
1966,23899,Morrisons,llm_completion,0.95,"Indomie Pedas is the same brand (Indomie/Indo Mie) and variety (spicy instant noodles) at 80g, matching the cluster products which are all Indo Mie/Indomie spic"
8387,46443,Sains,llm_completion,0.95,"Mr Kipling Mini Battenbergs Cakes x5 matches the cluster's brand (Mr Kipling), core product (Battenberg/Batts), and pack count (5). The cluster shows 5 Pack acr"
8514,28256,Morrisons,llm_completion,0.95,"Diced lamb leg, 300g, lean variety matches cluster specification. All three cluster items are diced lamb leg 300g. Morrisons British Diced Lean Leg Of Lamb 300g"
3411,19700,Morrisons,llm_completion,0.95,"Mullerlight brand, Chocolate Orange flavour, 270g pack (vs 280g in cluster but likely same product with minor weight variation), matches core product despite sl"
3229,63118,Tesco,llm_completion,0.95,"Lindahl's Pro Plus Banoffee matches the cluster's Lindahls Pro+ Kvarg Banoffee Pie - same brand (Lindahls/Lindahl's), same flavor (Banoffee), same weight (150g)"
8925,22201,Morrisons,llm_completion,0.95,"Mr Kipling brand, Raspberry flavour, 190g weight matches cluster exactly. 'Exceedingly Good Ra...' is truncated text for Raspberry variant."
9060,2421,ASDA,llm_completion,0.95,"Same brand (Doves Farm FREEE line), same variety (self-raising white flour), same weight (1000g), gluten-free matches the cluster's gluten-free variant"
9128,14000,ASDA,llm_completion,0.95,"Shalimar Britain's Favourite Bombay Mix 200g matches the core product: Bombay Mix variety, 200g weight, same pack count (1). Cluster contains own-brand versions"
9168,36943,Sains,llm_completion,0.95,"Cofresh brand, Bombay Mix variety, 200g weight. Matches the core product across the cluster (Chilli & Lemon Bombay Mix from Morrisons at 200g is the same produc"
13608,1132,ASDA,llm_completion,0.95,ASDA Extra Special Cavolo Nero Kale is the same core product (cavolo nero/black kale) as the cluster. All candidates are own-brand from different UK supermarket
9343,12311,ASDA,llm_completion,0.95,"Bistro by ASDA Macaroni Cheese 400g matches the cluster's core product: macaroni cheese ready meal, 400g weight, own-brand equivalent to Morrisons/Sainsbury's/T"
9350,1196,ASDA,llm_completion,0.95,Feasters Southern Fried Chicken Burger 130g matches the cluster's core product (Southern Fried Chicken Burger format and weight). Feasters is ASDA's equivalent 
9694,49603,Tesco,llm_completion,0.95,"Tesco Orange Juice Smooth 1 Litre matches the cluster's core product: own-brand smooth orange juice, 1000ml, same variety and weight as ASDA and Morrisons own-b"
9810,35629,Sains,llm_completion,0.95,"Same core product: Garlic & Herb Potato Wedges Recipe Mix, 38g weight. Sainsbury's own-brand equivalent to Schwartz branded product in cluster. Same variety, sa"
2665,59132,Tesco,llm_completion,0.95,"Seasoned fried potato product (fries/curly fries/zig zag fries are same core product category), similar weight range (750g matches ASDA), Tesco own-brand matche"
14002,18530,Morrisons,llm_completion,0.95,"Morrisons The Best Breaded Wiltshire Ham — 120g matches the cluster's core product: breaded/hand-breaded Wiltshire ham, premium own-brand tier (The Best = Taste"
2354,39507,Sains,llm_completion,0.95,"Chambord brand, black raspberry liqueur, 200ml (20cl). Matches cluster across brand, variety, and volume despite minor labeling variations in other supermarket "
2150,32096,Sains,llm_completion,0.95,"Sainsbury's Wholegrain Fruit & Fibre 750g matches the cluster's core product (Fruit & Fibre cereal, 750g). Own-brand equivalent of ASDA/Morrisons/Tesco versions"
10140,217,ASDA,llm_completion,0.95,"PG Tips Decaf 70 tea bags, 203g - matches brand, variety (decaffeinated), pack count (70), and weight (203g) with Tesco listing in cluster"
10163,13300,ASDA,llm_completion,0.95,"Aunty's brand, sticky toffee flavour, 190g total weight matching the cluster. 'Steamed Puds' is variant naming of 'Steamed Puddings' same product line."
8278,64090,Tesco,llm_completion,0.95,"Cadbury Mini Eggs, 4x75g (300g) matches ASDA listing exactly. 'Twinpot' and 'Limited Edition' are minor packaging variations of the same core product (mini choc"
3658,22750,Morrisons,llm_completion,0.95,"Nestle Coco Shreddies Cereal 550g matches the cluster's core product (Coco Shreddies), brand (Nestle), flavour (Coco), and weight (550g consistent with cluster "
3735,22371,Morrisons,llm_completion,0.95,"Morrisons Original Oat 10 Sachets 270g matches the cluster: same core product (original porridge oats), same pack count (10 sachets), same weight (270g). Own-br"
6126,63170,Tesco,llm_completion,0.95,Mr Kipling Angel Slice 6 Pack matches the cluster's core product (Angel/Victoria Slices are the same Mr Kipling product line with variant naming across retailer
5380,20404,Morrisons,llm_completion,0.95,"Walkers Monster Munch Roast Beef, 120g multipack - matches brand, variety, flavor, weight, and pack count of cluster despite truncated text in Morrisons listing"
5094,19995,Morrisons,llm_completion,0.95,"Chocomel brand, chocolate flavoured milk drink, 750ml - matches cluster specifications exactly. 'Chocolate Flavoured Milk Drink' is the full product description"
5588,58089,Tesco,llm_completion,0.95,"Proper Chips (Properchips) Sea Salt 85g matches the cluster's brand, flavor (Sea Salt), and weight (85g). Minor naming variation ('Proper Chips' vs 'Properchips"
5774,27799,Morrisons,llm_completion,0.95,"Same brand (Appletiser), same volume (150ml), same core product (100% apple juice). The 'Lightly Sparkling' variety is a different variant from the cluster's st"
5831,26059,Morrisons,llm_completion,0.95,Hovis Scotch Pancakes x6 matches the cluster's core product (6 Scotch Pancakes). Different brand (Hovis vs own-brand) is acceptable as the unbranded core produc
4823,35056,Sains,llm_completion,0.95,Sainsbury's Harissa Spices matches the cluster's core product (Harissa flavour). Brand differs (Sainsbury's vs Schwartz) but this is acceptable as own-brand equ
5915,52325,Tesco,llm_completion,0.95,"Abra Ca Debora Sweet Pancakes 6 Pack, 375g matches the cluster: same product type (sweet pancakes), same pack count (6), same weight (375g), and same branded va"
5954,25973,Morrisons,llm_completion,0.95,"Morrisons Stonebaked Wholemeal Pittas matches the core product: wholemeal pittas, 6-pack format, consistent with cluster. Own-brand across different SMs is acce"
6188,49538,Tesco,llm_completion,0.95,"Radnor Splash Apple & Raspberry, 750ml total volume (3x250ml pack), matches the cluster's brand, flavor, and total volume exactly"
8063,28128,Morrisons,llm_completion,0.95,"Same core product (12 Pigs in Blankets), own-brand from different SM, similar weight (210g vs 222-240g range typical for this item). Minor weight variation acce"
