ensemble_cluster_id,product_idx,supermarket,source,confidence,reason
9474,12205,ASDA,llm_completion,0.95,"ASDA Bistro Cauliflower Cheese 400g matches the core product: cauliflower cheese, 400g, own-brand equivalent to Morrisons/Sainsbury's/Tesco premium own-brands. "
905,27640,Morrisons,llm_completion,0.95,"Robinsons brand, Fruit & Barley, Apple & Pear flavour, No Added Sugar, 1000ml - matches cluster criteria despite truncated product name"
11656,991,ASDA,llm_completion,0.95,"ASDA Light & Fluffy Maris Piper Potatoes 2kg matches the core product: Maris Piper variety, 2kg weight, same supermarket own-brand format as cluster. Descriptor"
5659,30615,Morrisons,llm_completion,0.95,"Kylie Minogue Alcohol Free Sparkling Rosé, 750ml - matches brand, variety (rosé), volume, and pack count of cluster. Text truncation ('Alco…') is typical for di"
1514,35172,Sains,llm_completion,0.95,"Same brand (Nutella), same variety (Chocolate & Hazelnut Biscuits), same pack count (20 pieces), weight matches cluster range (270-276g). The 'Multipack' descri"
1447,33353,Sains,llm_completion,0.95,"Free From Lasagne Sheets, 250g - same core product as cluster. Sainsbury's own-brand equivalent to ASDA/Morrisons/Tesco own-brands, matching variety and weight."
11121,5119,ASDA,llm_completion,0.95,"ASDA Frozen for Freshness Sweetcorn 1000g matches the cluster: all are own-brand sweetcorn, super sweet/sweet variety, 1kg/1000g weight, single pack. Candidates"
1302,51724,Tesco,llm_completion,0.95,"Same brand (J20/J2O), same variety (Blackberry & Blueberry Martini), same volume (250ml), same pack count (1). Minor spelling variation in brand name (J20 vs J2"
1298,51725,Tesco,llm_completion,0.95,"Same brand (J2O/J20), same flavour (White Peach & Mango Daiquiri - 'White' is implicit in cluster's 'Peach & Mango'), same volume (250ml), same pack count (1). "
5679,51647,Tesco,llm_completion,0.95,"Hartley's brand, Mango & Passion Fruit flavour, 175g size. Cluster shows 10 Cal/Reduced Sugar variants across different SMs - B is the Tesco equivalent of this "
1293,39771,Sains,llm_completion,0.95,"Same brand (Shloer), same flavour (Red Grape), same volume (750ml), same zero-calorie/light formulation. 'Light Zero' is equivalent naming to 'Zero' across diff"
1283,50771,Tesco,llm_completion,0.95,"Shloer Rose 750ml matches the cluster's brand (Shloer), variety (Rose), and volume (750ml). The full product name is abbreviated in the Tesco listing but repres"
5798,27947,Morrisons,llm_completion,0.95,"Aqua Libra brand, sparkling water, 1340ml volume matches cluster. Likely same Cucumber Mint & Lime variety (truncated in listing). Same brand and volume as ASDA"
9974,13296,ASDA,llm_completion,0.95,"ASDA Crunchy Peanut Butter 1kg matches the core product: crunchy peanut butter, 1000g weight. Own-brand equivalent to the branded products in cluster (Pip & Nut"
8327,22197,Morrisons,llm_completion,0.95,"Light Brown Soft Sugar, 500g matches the cluster's core product (light soft brown sugar). Brand difference (Silver Spoon vs own-brands) is acceptable as it's th"
13891,26446,Morrisons,llm_completion,0.95,"Matches cluster: Chicago Town Weekender Stuffed Crust Salt & Pepper Chicken, 680g weight consistent with cluster products (680-692g range). Candidate A lacks 'W"
13237,24629,Morrisons,llm_completion,0.95,"Freixenet brand, alcohol-free sparkling wine, 750ml. Minor descriptor variation ('White' added) but core product is identical to cluster listings."
7516,61902,Tesco,llm_completion,0.95,"Same brand (Campo Viejo), same variety (Rioja Blanco white wine), same volume (750ml/75cl). Only minor wording order difference compared to cluster listings."
7487,32627,Sains,llm_completion,0.95,"Sainsbury's Yeast Extract is own-brand yeast extract matching the cluster's own-brand products (ASDA, Morrisons, Tesco). Weight 225g matches Tesco. Reduced Salt"
9337,63113,Tesco,llm_completion,0.95,Tesco Plant Chef Meat Free Spaghetti Bolognese 400G matches the cluster: all are own-brand spaghetti bolognese at 400g. The cluster includes a vegetarian varian
7912,48978,Sains,llm_completion,0.95,"Wall's Mini Savoury Eggs 216g matches the cluster's core product: mini savoury eggs, 216g weight, consistent with the 12-pack format seen in cluster. Candidate "
5415,37399,Sains,llm_completion,0.95,"Same brand (Tyrrells), same flavour (Tomato & Chilli Chutney), same weight (150g). Minor naming variation ('Hand Cooked English Crisps' descriptor) does not cha"
5019,38449,Sains,llm_completion,0.95,"Dairy Pride UHT Skimmed Milk 1L matches the cluster's core product: skimmed milk, UHT/long life, 1000ml. Different brand is acceptable as cluster contains own-b"
10902,4657,ASDA,llm_completion,0.95,"Yellow Tail Merlot, 750ml - matches brand, variety, and volume exactly. The addition of 'Red Wine' descriptor does not change the core product."
7988,46167,Sains,llm_completion,0.95,Sainsbury's British or Irish Stir Fry Beef 350g matches the core product (beef stir fry strips) at comparable weight (350g vs 300-357g range). Own-brand beef st
10498,8415,ASDA,llm_completion,0.95,"Very Lazy Ginger, 190g matches cluster exactly. The addition of 'in White Wine Vinegar' is a processing/preservation detail that doesn't change the core product"
4718,58059,Tesco,llm_completion,0.95,"Maggi So Juicy Mixed Herbs Recipe Mix 30g matches the cluster's brand (Maggi), variety (Mixed Herbs Chicken), and weight (30g). The cluster contains Mixed Herbs"
8108,24735,Morrisons,llm_completion,0.95,"Same brand (Corona), same variety (Lager), same volume (619.4ml matches cluster entries at ~620ml), same pack count (single bottle)"
10483,7635,ASDA,llm_completion,0.95,"La Doria Sweetcorn in Water 325g matches the cluster's core product (sweetcorn in water, 325g weight). All three cluster items are the same unbranded core produ"
4889,18225,Morrisons,llm_completion,0.95,Ayumi Organic Virgin Coconut Oil is the same core product - organic virgin coconut oil in similar volume (284ml vs 275-300ml). All three cluster products are or
8300,60022,Tesco,llm_completion,0.95,"Tesco Peri Peri Spatchcock with Sauce 1.2kg matches the cluster: same core product (peri peri spatchcock chicken), same weight (1200g), own-brand Tesco equivale"
5300,22658,Morrisons,llm_completion,0.95,"Same brand (Walkers Sensations), same flavour (Roast Chicken & Thyme), same weight (150g). The truncated text in candidate A matches the cluster product."
11047,46376,Sains,llm_completion,0.95,"Sainsbury's Sultana Scones, Taste the Difference x4 matches the cluster: all-butter sultana scones in a 4-pack. All four supermarket own-brands (ASDA Extra Spec"
9330,12135,ASDA,llm_completion,0.95,"ASDA Meal For One Tuna Conchiglie Bake 400g matches the cluster: same core product (tuna pasta bake), same weight (400g), same pack count (1), own-brand equival"
2042,60099,Tesco,llm_completion,0.95,"Tesco Black Forest Fruits Mix 500G matches the cluster: same core product (Black Forest Fruits), same weight (500g), own-brand of different SM (Tesco vs ASDA/Mo"
5228,18440,Morrisons,llm_completion,0.95,Market Street Egg Custard Tarts matches the core product (egg custard tarts) across all three supermarkets. Market Street is Morrison's own-brand equivalent to 
